site.name,sample.name,series,year,campaign,julian.day,sampling.date,sample.type,lat,long,sample.type.year
PR-04A,PR04.2,PR,2015,1,159,2015-06-08,Stream,51.21305,-63.92265,Stream
PR-05A,PR05,PR,2015,1,164,2015-06-13,Stream,51.20287,-63.92476,Stream
PR-05A,PR05.1,PR,2015,1,164,2015-06-13,Stream,51.20287,-63.92476,Stream
PR-05A,PR05.2,PR,2015,1,164,2015-06-13,Stream,51.20287,-63.92476,Stream
PR-05B,PR06,PR,2015,1,164,2015-06-13,Stream,51.20215,-63.92315,Stream
PR-05B,PR06.1,PR,2015,1,164,2015-06-13,Stream,51.20215,-63.92315,Stream
PR-05B,PR06.2,PR,2015,1,164,2015-06-13,Stream,51.20215,-63.92315,Stream
PR-06A,PR07,PR,2015,1,164,2015-06-13,Stream,51.1863,-63.9319,Stream
PR-06A,PR07.1,PR,2015,1,164,2015-06-13,Stream,51.1863,-63.9319,Stream
PR-06A,PR07.2,PR,2015,1,164,2015-06-13,Stream,51.1863,-63.9319,Stream
PR-03B,PR09,PR,2015,1,165,2015-06-14,Stream,51.30254,-63.87091,Stream
PR-03B,PR09.1,PR,2015,1,165,2015-06-14,Stream,51.30254,-63.87091,Stream
PR-03B,PR09.2,PR,2015,1,165,2015-06-14,Stream,51.30254,-63.87091,Stream
PR-03B,PR09.3,PR,2015,1,165,2015-06-14,Stream,51.30254,-63.87091,Stream
PR-03A,PR10,PR,2015,1,165,2015-06-14,Stream,51.303572,-63.869197,Stream
PR-03A,PR10.1,PR,2015,1,165,2015-06-14,Stream,51.303572,-63.869197,Stream
PR-03A,PR10.2,PR,2015,1,165,2015-06-14,Stream,51.303572,-63.869197,Stream
PR-03A,PR10.3,PR,2015,1,165,2015-06-14,Stream,51.303572,-63.869197,Stream
PR-02B,PR11,PR,2015,1,165,2015-06-15,Stream,51.3055,-63.86446,Stream
PR-02B,PR11.1,PR,2015,1,166,2015-06-15,Stream,51.3055,-63.86446,Stream
PR-02B,PR11.2,PR,2015,1,166,2015-06-15,Stream,51.3055,-63.86446,Stream
PR-02B,PR11.3,PR,2015,1,166,2015-06-15,Stream,51.3055,-63.86446,Stream
PR-02A,PR12,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.1,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.2,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.3,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.4,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.5,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.6,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.7,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-02A,PR12.8,PR,2015,1,167,2015-06-16,Stream,51.30408,-63.85239,Stream
PR-03A,SGPR10,PR,2015,1,165,2015-06-14,Soil,NA,NA,Soil
PR-02B,SGPR11,PR,2015,1,166,2015-06-15,Soil,NA,NA,Soil
PR-02A,SGPR12,PR,2015,1,167,2015-06-16,Soil,NA,NA,Soil
PR-01A,SPR01,PR,2015,1,158,2015-06-07,Soil,51.368157,-63.876955,Soil
PR-01B,SPR02,PR,2015,1,159,2015-06-08,Soil,51.21028,-63.92063,Soil
PR-05A,SPR03,PR,2015,1,164,2015-06-13,Soil,51.20287,-63.92476,Soil
PR-03A,SPR05,PR,2015,1,165,2015-06-14,Soil,51.303572,-63.869197,Soil
PR-02A,SPR06,PR,2015,1,167,2015-06-16,Soil,51.30408,-63.85239,Soil
LPR-02,SPR07,L,2015,1,168,2015-06-17,Soil,51.17814,-63.92364,Soil
LPR-04,SPR08,L,2015,1,168,2015-06-17,Soil,51.18873,-63.90278,Soil
LPR-05,SPR09,L,2015,1,168,2015-06-17,Soil,51.18144,-63.92325,Soil
LI-01,SPR10,L,2015,1,168,2015-06-17,Soil,50.22601,-63.91127,Soil
PR-06A,SPR4,PR,2015,1,164,2015-06-13,Soil,51.1863,-63.9319,Soil
PR-01A,SWPR01    ,PR,2015,1,158,2015-06-07,Soilwater,51.368157,-63.876955,Soilwater
PR-01B,SWPR02.1    ,PR,2015,1,159,2015-06-08,Soilwater,51.21028,-63.92063,Soilwater
PR-01B,SWPR02.2    ,PR,2015,1,159,2015-06-08,Soilwater,51.21028,-63.92063,Soilwater
PR-05A,SWPR03    ,PR,2015,1,164,2015-06-13,Soilwater,51.20287,-63.92476,Soilwater
PR-06A,SWPR04    ,PR,2015,1,164,2015-06-13,Soilwater,51.1863,-63.9319,Soilwater
PR-03A,SWPR05,PR,2015,1,165,2015-06-14,Soilwater,51.303572,-63.869197,Soilwater
PR-02A,SWPR06    ,PR,2015,1,167,2015-06-16,Soilwater,51.30408,-63.85239,Soilwater
LPR-02,SWPR07    ,L,2015,1,168,2015-06-17,Soilwater,51.17814,-63.92364,Soilwater
LPR-04,SWPR08    ,L,2015,1,168,2015-06-17,Soilwater,51.18873,-63.90278,Soilwater
LPR-05,SWPR09    ,L,2015,1,168,2015-06-17,Soilwater,51.18144,-63.92325,Soilwater
LI-01,SWPR10    ,L,2015,1,168,2015-06-17,Soilwater,50.22601,-63.91127,Soilwater
TR-026.36A,T01,TR,2015,1,170,2015-06-19,Tributary,50.65282,-63.30292,Tributary
TR-026.36B,T02,TR,2015,1,170,2015-06-19,Tributary,50.66656,-63.3096,Tributary
TR-026.36C,T03,TR,2015,1,170,2015-06-19,Tributary,50.68998,-63.30463,Tributary
TR-095.22A,T04,TR,2015,1,170,2015-06-19,Tributary,50.729983,-63.294566,Tributary
TR-061.31,T05,TR,2015,1,170,2015-06-19,Tributary,50.48435,-63.19913,Tributary
TR-026.36D,T06,TR,2015,1,170,2015-06-19,Tributary,50.81382,-63.33039,Tributary
TR-026.36E,T07,TR,2015,1,170,2015-06-19,Tributary,50.83146,-63.33276,Tributary
TR-148.81B,T08,TR,2015,1,170,2015-06-19,Tributary,51.12166,-63.4841,Tributary
TR-148.81A,T09,TR,2015,1,170,2015-06-19,Tributary,51.12167,-63.48459,Tributary
TR-077.91,T11,TR,2015,1,170,2015-06-19,Tributary,50.58702,-63.18548,Tributary
TR-076.20,T12,TR,2015,1,170,2015-06-19,Tributary,50.57398,-63.19397,Tributary
TR-073.42,T13,TR,2015,1,170,2015-06-19,Tributary,50.55238,-63.21311,Tributary
TR-067.92,T14,TR,2015,1,170,2015-06-19,Tributary,50.50294,-63.25587,Tributary
WELL-01,WELL1,LR,2015,1,169,2015-06-18,Wellwater,50.58879,-63.18764,Wellwater
WELL-02,WELL2,LR,2015,1,169,2015-06-18,Wellwater,50.62034,-63.1893,Wellwater
WELL-03,WELL3,LR,2015,1,169,2015-06-18,Wellwater,50.37795,-63.26105,Wellwater
WELL-04,WELL4,LR,2015,1,169,2015-06-18,Wellwater,50.38432,-63.25247,Wellwater
LI-03,L321,L,2015,2,216,2015-08-04,IslandLake,50.21899,-63.82191,IslandLake
LI-02,L322,L,2015,2,216,2015-08-04,IslandLake,50.21503,-63.89979,IslandLake
LPR-05,L323,L,2015,2,219,2015-08-07,PRLake,51.18145,-63.92259,PRLake
LPR-03,L324,L,2015,2,219,2015-08-07,PRLake,51.18139,-63.89829,PRLake
LPR-02,L325,L,2015,2,219,2015-08-07,PRLake,51.17887,-63.92581,PRLake
LPR-01,L326,L,2015,2,219,2015-08-07,PRLake,51.18167,-63.92587,PRLake
LPR-04,L327,L,2015,2,219,2015-08-07,PRLake,51.18924,-63.90315,PRLake
ES-03C,M09,ES,2015,2,226,2015-08-14,Marine,50.2591,-63.83741,Marine
ES-03B,M10,ES,2015,2,226,2015-08-14,Marine,50.25995,-63.83869,Marine
ES-03A,M11,ES,2015,2,226,2015-08-14,Marine,50.26222,-63.84091,Marine
ES-02,M12,ES,2015,2,226,2015-08-14,Marine,50.27225,-63.85675,Marine
ES-05,M13,ES,2015,2,226,2015-08-14,Marine,50.23985,-63.76012,Marine
ES-06,M14,ES,2015,2,226,2015-08-14,Marine,50.24043,-63.72075,Marine
ES-07,M15,ES,2015,2,226,2015-08-14,Marine,50.2174,-63.70496,Marine
ES-01,M16,ES,2015,2,226,2015-08-14,Marine,50.28235,-63.86902,Marine
PR-01A,PR13,PR,2015,2,167,2015-08-02,Stream,51.368157,-63.876955,Stream
PR-01A,PR13-1,PR,2015,2,214,2015-08-02,Stream,51.368157,-63.876955,Stream
PR-01A,PR13-2,PR,2015,2,214,2015-08-02,Stream,51.368157,-63.876955,Stream
PR-01A,PR13-3,PR,2015,2,214,2015-08-02,Stream,51.368157,-63.876955,Stream
PR-01B,PR14,PR,2015,2,214,2015-08-02,Stream,51.36719,-63.87731,Stream
PR-01B,PR14-1,PR,2015,2,214,2015-08-02,Stream,51.36719,-63.87731,Stream
PR-01B,PR14-2,PR,2015,2,214,2015-08-02,Stream,51.36719,-63.87731,Stream
PR-01B,PR14-3,PR,2015,2,214,2015-08-02,Stream,51.36719,-63.87731,Stream
PR-03B,PR15,PR,2015,2,215,2015-08-03,Stream,51.30254,-63.87091,Stream
PR-03B,PR15-1,PR,2015,2,215,2015-08-03,Stream,51.30254,-63.87091,Stream
PR-03B,PR15-2,PR,2015,2,215,2015-08-03,Stream,51.30254,-63.87091,Stream
PR-03B,PR15-3,PR,2015,2,215,2015-08-03,Stream,51.30254,-63.87091,Stream
PR-03A,PR16,PR,2015,2,215,2015-08-03,Stream,51.303572,-63.869197,Stream
PR-03A,PR16-1,PR,2015,2,215,2015-08-03,Stream,51.303572,-63.869197,Stream
PR-03A,PR16-2,PR,2015,2,215,2015-08-03,Stream,51.303572,-63.869197,Stream
PR-03A,PR16-3,PR,2015,2,215,2015-08-03,Stream,51.303572,-63.869197,Stream
PR-03A,PR16-4,PR,2015,2,215,2015-08-03,Stream,51.303572,-63.869197,Stream
PR-02B,PR17,PR,2015,2,215,2015-08-03,Stream,51.3055,-63.86446,Stream
PR-02B,PR17-1,PR,2015,2,215,2015-08-03,Stream,51.3055,-63.86446,Stream
PR-02B,PR17-2,PR,2015,2,215,2015-08-03,Stream,51.3055,-63.86446,Stream
PR-02B,PR17-3,PR,2015,2,215,2015-08-03,Stream,51.3055,-63.86446,Stream
PR-02B,PR17-4,PR,2015,2,215,2015-08-03,Stream,51.3055,-63.86446,Stream
PR-02B,PR17-5,PR,2015,2,215,2015-08-03,Stream,51.3055,-63.86446,Stream
PR-02A,PR18,PR,2015,2,216,2015-08-04,Stream,51.30408,-63.85239,Stream
PR-02A,PR18-1,PR,2015,2,216,2015-08-04,Stream,51.30408,-63.85239,Stream
PR-02A,PR18-2,PR,2015,2,216,2015-08-04,Stream,51.30408,-63.85239,Stream
PR-02A,PR18-3,PR,2015,2,216,2015-08-04,Stream,51.30408,-63.85239,Stream
PR-02A,PR18-4,PR,2015,2,216,2015-08-04,Stream,51.30408,-63.85239,Stream
PR-02A,PR18-5,PR,2015,2,216,2015-08-04,Stream,51.30408,-63.85239,Stream
PR-05A,PR19,PR,2015,2,217,2015-08-05,Stream,51.20287,-63.92476,Stream
PR-05A,PR19-1,PR,2015,2,217,2015-08-05,Stream,51.20287,-63.92476,Stream
PR-05A,PR19-2,PR,2015,2,217,2015-08-05,Stream,51.20287,-63.92476,Stream
PR-05A,PR19-3,PR,2015,2,217,2015-08-05,Stream,51.20287,-63.92476,Stream
PR-05B,PR20,PR,2015,2,217,2015-08-05,Stream,51.20215,-63.92315,Stream
PR-05B,PR20-1,PR,2015,2,217,2015-08-05,Stream,51.20215,-63.92315,Stream
PR-05B,PR20-2,PR,2015,2,217,2015-08-05,Stream,51.20215,-63.92315,Stream
PR-05B,PR20-3,PR,2015,2,217,2015-08-05,Stream,51.20215,-63.92315,Stream
PR-04B,PR21,PR,2015,2,218,2015-08-06,Stream,51.21028,-63.92063,Stream
PR-04B,PR21-1,PR,2015,2,218,2015-08-06,Stream,51.21028,-63.92063,Stream
PR-04B,PR21-2,PR,2015,2,218,2015-08-06,Stream,51.21028,-63.92063,Stream
PR-04B,PR21-3,PR,2015,2,218,2015-08-06,Stream,51.21028,-63.92063,Stream
PR-04A,PR22,PR,2015,2,218,2015-08-06,Stream,51.21305,-63.92265,Stream
PR-04A,PR22-1,PR,2015,2,218,2015-08-06,Stream,51.21305,-63.92265,Stream
PR-04A,PR22-2,PR,2015,2,218,2015-08-06,Stream,51.21305,-63.92265,Stream
PR-04A,PR22-3,PR,2015,2,218,2015-08-06,Stream,51.21305,-63.92265,Stream
PR-06A,PR23,PR,2015,2,219,2015-08-07,Stream,51.1863,-63.9319,Stream
PR-06A,PR23-1,PR,2015,2,219,2015-08-07,Stream,51.1863,-63.9319,Stream
PR-06A,PR23-2,PR,2015,2,219,2015-08-07,Stream,51.1863,-63.9319,Stream
PR-06A,PR23-3,PR,2015,2,219,2015-08-07,Stream,51.1863,-63.9319,Stream
LI-02,SL322,L,2015,2,216,2015-08-04,Soil,50.21165,-63.91142,Soil
LPR-04,SL323,L,2015,2,219,2015-08-07,Soil,51.18924,-63.90315,Soil
LPR-02,SL325,L,2015,2,219,2015-08-07,Soil,51.17887,-63.92581,Soil
LPR-01,SL326,L,2015,2,219,2015-08-07,Soil,51.18167,-63.92587,Soil
LPS-05,SL327,L,2015,2,219,2015-08-07,Soil,51.18145,-63.92259,Soil
PR-01A,SPR13,PR,2015,2,167,2015-08-02,Soil,51.36792,-63.87695,Soil
PR-03A,SPR16,PR,2015,2,215,2015-08-03,Soil,51.30365,-63.86974,Soil
PR-02A,SPR18,PR,2015,2,216,2015-08-04,Soil,51.30387,-63.85239,Soil
PR-05B,SPR20,PR,2015,2,217,2015-08-05,Soil,51.20218,-63.92313,Soil
PR-04B,SPR21,PR,2015,2,218,2015-08-06,Soil,51.21072,-63.92059,Soil
PR-06A,SPR23,PR,2015,2,219,2015-08-07,Soil,51.1863,-63.9319,Soil
TR-222.52,ST21,TR,2015,2,220,2015-08-08,Stream,51.45175,-63.80902,Stream
TR-244.64,ST25,TR,2015,2,220,2015-08-08,Stream,51.61302,-63.67693,Stream
TR-121.10,ST27,TR,2015,2,221,2015-08-09,Stream,50.91058,-63.24684,Stream
TR-198.10,ST29,TR,2015,2,222,2015-08-10,Stream,51.33701,-63.61772,Stream
TR-056.41,ST41,TR,2015,2,225,2015-08-13,Stream,50.42005,-63.2447,Stream
LI-02,SWL322,L,2015,2,216,2015-08-04,Soilwater,50.21165,-63.91142,Soilwater
LPR-04,SWL323,L,2015,2,219,2015-08-07,Soilwater,51.18924,-63.90315,Soilwater
LPR-02,SWL325,L,2015,2,219,2015-08-07,Soilwater,51.17887,-63.92581,Soilwater
LPR-01,SWL326,L,2015,2,219,2015-08-07,Soilwater,51.18167,-63.92587,Soilwater
LPS-05,SWL327,L,2015,2,219,2015-08-07,Soilwater,51.18145,-63.92259,Soilwater
PR-01A,SWPR13,PR,2015,2,167,2015-08-02,Soilwater,51.36792,-63.87695,Soilwater
PR-03A,SWPR16,PR,2015,2,215,2015-08-03,Soilwater,51.30365,-63.86974,Soilwater
PR-02A,SWPR18,PR,2015,2,216,2015-08-04,Soilwater,51.30387,-63.85239,Soilwater
PR-05B,SWPR20,PR,2015,2,217,2015-08-05,Soilwater,51.20218,-63.92313,Soilwater
PR-04B,SWPR21,PR,2015,2,218,2015-08-06,Soilwater,51.21072,-63.92059,Soilwater
PR-06A,SWPR23,PR,2015,2,219,2015-08-07,Soilwater,51.1863,-63.9319,Soilwater
TR-222.52,SWT21,TR,2015,2,220,2015-08-08,Soilwater,51.45175,-63.80902,Soilwater
TR-244.64,SWT25,TR,2015,2,220,2015-08-08,Soilwater,51.61302,-63.67693,Soilwater
TR-121.10,SWT27,TR,2015,2,221,2015-08-09,Soilwater,50.91058,-63.24684,Soilwater
TR-198.10,SWT29,TR,2015,2,222,2015-08-10,Soilwater,51.33701,-63.61772,Soilwater
TR-056.41,SWT41,TR,2015,2,225,2015-08-13,Soilwater,50.42005,-63.2447,Soilwater
TR-013.00,T15,TR,2015,2,214,2015-08-02,Tributary,50.30985,-63.66135,Tributary
TR-080.57,T16,TR,2015,2,215,2015-08-03,Tributary,50.632,-63.16698,Tributary
TR-063.16,T17,TR,2015,2,215,2015-08-03,Tributary,50.46852,-63.23358,Tributary
TR-172.49,T18,TR,2015,2,217,2015-08-05,Tributary,51.24445,-63.33876,Tributary
TR-172.10,T19,TR,2015,2,217,2015-08-05,Tributary,51.24168,-63.34475,Tributary
TR-161.22,T20,TR,2015,2,217,2015-08-05,Tributary,51.15319,-63.40168,Tributary
TR-222.52,T21,TR,2015,2,220,2015-08-08,Tributary,51.45175,-63.80902,Tributary
TR-229.24,T22,TR,2015,2,220,2015-08-08,Tributary,51.50591,-63.78955,Tributary
TR-234.83,T23,TR,2015,2,220,2015-08-08,Tributary,51.54037,-63.7449,Tributary
TR-280.25,T24,TR,2015,2,220,2015-08-08,Tributary,51.91388,-63.83259,Tributary
TR-244.64,T25,TR,2015,2,220,2015-08-08,Tributary,51.61302,-63.67693,Tributary
TR-153.85,T26,TR,2015,2,221,2015-08-09,Tributary,51.10227,-63.38516,Tributary
TR-121.10,T27,TR,2015,2,221,2015-08-09,Tributary,50.91047,-63.24681,Tributary
TR-121.85,T28,TR,2015,2,221,2015-08-09,Tributary,50.88194,-63.25109,Tributary
TR-198.10,T29,TR,2015,2,222,2015-08-10,Tributary,51.33701,-63.61772,Tributary
TR-187.36,T30,TR,2015,2,222,2015-08-10,Tributary,51.32538,-63.49067,Tributary
TR-127.84,T31,TR,2015,2,223,2015-08-11,Tributary,50.88197,-63.41251,Tributary
TR-026.36E,T32,TR,2015,2,223,2015-08-11,Tributary,50.83152,-63.33313,Tributary
TR-095.22B,T33,TR,2015,2,223,2015-08-11,Tributary,50.74831,-63.30805,Tributary
TR-095.22A,T34,TR,2015,2,223,2015-08-11,Tributary,50.73,-63.2946,Tributary
TR-077.91,T35,TR,2015,2,223,2015-08-11,Tributary,50.58714,-63.18549,Tributary
TR-049.69,T37,TR,2015,2,225,2015-08-13,Tributary,50.37239,-63.26387,Tributary
TR-075.58,T38,TR,2015,2,225,2015-08-13,Tributary,50.56943,-63.19675,Tributary
TR-048.18,T39,TR,2015,2,225,2015-08-13,Tributary,50.35786,-63.25951,Tributary
TR-073.42,T40,TR,2015,2,225,2015-08-13,Tributary,50.55195,-63.21308,Tributary
TR-056.41,T41,TR,2015,2,225,2015-08-13,Tributary,50.42005,-63.2447,Tributary
TR-067.92,T42,TR,2015,2,225,2015-08-13,Tributary,50.50407,-63.25534,Tributary
TR-058.85,T43,TR,2015,2,225,2015-08-13,Tributary,50.4343,-63.25332,Tributary
TR-066.57,T44,TR,2015,2,225,2015-08-13,Tributary,50.49451,-63.25605,Tributary
TR-060.61,T46,TR,2015,2,225,2015-08-13,Tributary,50.4511,-63.24621,Tributary
NA,HW24,NA,2016,1,162,2016-06-10,Hyporheic,51.21285,-63.92264,Hyporheic
NA,HW25,NA,2016,1,162,2016-06-10,Hyporheic,51.20954,-63.42093,Hyporheic
NA,HW26,NA,2016,1,163,2016-06-11,Hyporheic,51.36657,-63.87721,Hyporheic
NA,HW27,NA,2016,1,163,2016-06-11,Hyporheic,51.36616,-63.87573,Hyporheic
NA,HW28,NA,2016,1,164,2016-06-12,Hyporheic,51.20215,-63.92329,Hyporheic
NA,HW30,NA,2016,1,164,2016-06-12,Hyporheic,51.18623,-63.93188,Hyporheic
NA,HW31,NA,2016,1,167,2016-06-15,Hyporheic,51.30344,-63.86294,Hyporheic
NA,HW32,NA,2016,1,165,2016-06-13,Hyporheic,51.30254,-63.87091,Hyporheic
NA,L328_1,L,2016,1,164,2016-06-12,Lake,50.57727,-63.46136,Lake
NA,L328_2,L,2016,1,164,2016-06-12,Lake,50.46541,-63.57906,Lake
NA,L329_1,L,2016,1,164,2016-06-12,Lake,50.5621,-63.30718,Lake
NA,L329_2,L,2016,1,164,2016-06-12,Lake,50.47179,-63.42405,Lake
NA,L330_C1,L,2016,1,165,2016-06-13,Lake,NA,NA,Lake
PR-04A,PR24,PR,2016,1,162,2016-06-10,Stream,51.21285,-63.92264,Stream
PR-04A,PR24.1,PR,2016,1,162,2016-06-10,Stream,51.21285,-63.92264,Stream
PR-04A,PR24.2,PR,2016,1,162,2016-06-10,Stream,51.21285,-63.92264,Stream
PR-03B,PR25,PR,2016,1,162,2016-06-10,Stream,51.20954,-63.92093,Stream
PR-03B,PR25.1,PR,2016,1,162,2016-06-10,Stream,51.20954,-63.92093,Stream
PR-03B,PR25.2,PR,2016,1,162,2016-06-10,Stream,51.20954,-63.92093,Stream
PR-01A,PR26,PR,2016,1,163,2016-06-11,Stream,51.36657,-63.87721,Stream
PR-01A,PR26.1,PR,2016,1,163,2016-06-11,Stream,51.36657,-63.87721,Stream
PR-01A,PR26.2,PR,2016,1,163,2016-06-11,Stream,51.36657,-63.87721,Stream
PR-02B,PR27,PR,2016,1,163,2016-06-11,Stream,51.36616,-63.87573,Stream
PR-02B,PR27.1,PR,2016,1,163,2016-06-11,Stream,51.36616,-63.87573,Stream
PR-02B,PR27.2,PR,2016,1,163,2016-06-11,Stream,51.36616,-63.87573,Stream
PR-06B,PR28,PR,2016,1,164,2016-06-12,Stream,51.20215,-63.92329,Stream
PR-06B,PR28.1,PR,2016,1,164,2016-06-12,Stream,51.20215,-63.92329,Stream
PR-06B,PR28.2,PR,2016,1,164,2016-06-12,Stream,51.20215,-63.92329,Stream
PR-05A,PR29,PR,2016,1,164,2016-06-12,Stream,51.2029,-63.92485,Stream
PR-05A,PR29.1,PR,2016,1,164,2016-06-12,Stream,51.2029,-63.92485,Stream
PR-05A,PR29.2,PR,2016,1,164,2016-06-12,Stream,51.2029,-63.92485,Stream
PR-07S,PR30,PR,2016,1,164,2016-06-12,Stream,51.18623,-63.93188,Stream
PR-07S,PR30.1,PR,2016,1,164,2016-06-12,Stream,51.18623,-63.93188,Stream
PR-07S,PR30.2,PR,2016,1,164,2016-06-12,Stream,51.18623,-63.93188,Stream
PR-10B,PR31,PR,2016,1,167,2016-06-15,Stream,51.30344,-63.86294,Stream
PR-10B,PR31.1,PR,2016,1,167,2016-06-15,Stream,51.30344,-63.86294,Stream
PR-10B,PR31.2,PR,2016,1,167,2016-06-15,Stream,51.30344,-63.86294,Stream
PR-10B,PR31.3,PR,2016,1,167,2016-06-15,Stream,51.30344,-63.86294,Stream
PR-09A,PR32,PR,2016,1,165,2016-06-13,Stream,51.30254,-63.87091,Stream
PR-09A,PR32.1,PR,2016,1,165,2016-06-13,Stream,51.30254,-63.87091,Stream
PR-09A,PR32.2,PR,2016,1,165,2016-06-13,Stream,51.30254,-63.87091,Stream
PR-09A,PR32.3,PR,2016,1,165,2016-06-13,Stream,51.30254,-63.87091,Stream
PR-09A,PR32.4,PR,2016,1,165,2016-06-13,Stream,51.30254,-63.87091,Stream
NA,PUIT1,NA,2016,1,160,2016-06-08,Tributary,50.37787,-63.26111,Tributary
NA,PUIT2,NA,2016,1,160,2016-06-08,Tributary,50.3776,-63.26113,Tributary
NA,PUIT3,NA,2016,1,160,2016-06-08,Tributary,50.33402,-63.21383,Tributary
NA,SW24,NA,2016,1,162,2016-06-10,Soilwater,51.21285,-63.92264,Soilwater
NA,SW25,NA,2016,1,162,2016-06-10,Soilwater,51.20954,-63.42093,Soilwater
NA,SW26,NA,2016,1,163,2016-06-11,Soilwater,51.36657,-63.87721,Soilwater
NA,SW27,NA,2016,1,163,2016-06-11,Soilwater,51.36616,-63.87573,Soilwater
NA,SW28,NA,2016,1,164,2016-06-12,Soilwater,51.20215,-63.92329,Soilwater
NA,SW30,NA,2016,1,164,2016-06-12,Soilwater,51.18623,-63.93188,Soilwater
NA,SW31,NA,2016,1,167,2016-06-15,Soilwater,51.30344,-63.86294,Soilwater
NA,SW32,NA,2016,1,165,2016-06-13,Soilwater,51.30254,-63.87091,Soilwater
NA,T47,TR,2016,1,166,2016-06-14,Tributary,50.3108,-63.66121,Tributary
NA,T48,TR,2016,1,166,2016-06-14,Tributary,50.32102,-63.720285,Tributary
NA,T48.1,TR,2016,1,166,2016-06-14,Tributary,50.32078,-63.726749,Tributary
NA,T49_C1,TR,2016,1,167,2016-06-15,Tributary,50.42892,-63.21438,Tributary
NA,HW33,NA,2016,2,217,2016-08-04,Hyporheic,51.36618,-63.87583,Hyporheic
NA,HW34,NA,2016,2,217,2016-08-04,Hyporheic,51.36654,-63.87719,Hyporheic
NA,HW35,NA,2016,2,218,2016-08-05,Hyporheic,51.21284,-63.92261,Hyporheic
NA,HW36,NA,2016,2,218,2016-08-05,Hyporheic,51.2095,-63.92092,Hyporheic
NA,HW37,NA,2016,2,220,2016-08-07,Hyporheic,51.20212,-63.9233,Hyporheic
NA,HW40,NA,2016,2,222,2016-08-09,Hyporheic,51.303572,-63.869197,Hyporheic
NA,HW41,NA,2016,2,222,2016-08-09,Hyporheic,51.30254,-63.87091,Hyporheic
NA,HW42,NA,2016,2,223,2016-08-10,Hyporheic,51.30536,-63.8649,Hyporheic
NA,HW43,NA,2016,2,223,2016-08-10,Hyporheic,51.30408,-63.85194,Hyporheic
NA,L330_C2,L,2016,2,218,2016-08-05,Lake,51.18157,-63.92587,Lake
